Amazon,EUR/USD,General Electric,Alphabet,USD/JPY,Nvidia,Pfizer,Tesla,Visa,Date,Year,Day_of_Week
0.023444493611653572,0.004261202595510216,-0.0005465788381727732,0.01747570637450724,-0.004381470834468271,0.027272629044364782,0.009709084032503368,-0.0003751534405773693,0.0019888192691173145,2011-01-03,2011,Monday
0.004288272819382488,-8.013972512788126e-05,0.01805197762976274,-0.0036900289512676876,0.006742811075830746,-0.0031604903941174767,0.017533311876017255,0.0018780833138420938,0.0011343839695188151,2011-01-04,2011,Tuesday
0.013026384320090623,-0.002677577490749039,0.0016124576435061488,0.011542633772795297,0.004505985716487748,0.07672791023022052,0.006670629620407542,0.005999418703857007,0.02110477113561471,2011-01-05,2011,Wednesday
-0.008323558451756474,-0.012327945783849548,-0.004291555072327813,0.007273389101452699,0.014030095179107693,0.1383982149851457,0.0038650454311750515,0.03913531913849955,0.014982077261435078,2011-01-06,2011,Thursday
-0.001990780977456086,-0.01344723017266558,-0.0070042217730345024,0.004792088494637303,0.0013343117124211545,0.027935548424697476,0.008800923929241922,0.01291244166982164,-0.002870633747782403,2011-01-07,2011,Friday
-0.004366778549921402,-0.00653780914788149,0.004340337788892423,-0.003617471897926383,-0.0032413476899054716,0.03824892538082314,-0.004362315555293761,0.0074362904219000825,-0.01576174025565802,2011-01-10,2011,Monday
-0.0018410437497308196,0.005419439149108474,0.006482601217694839,0.002930568262047961,-0.0038540250455116887,-0.015511293128051107,-0.0021900775721459542,-0.05237292648152814,0.000974371390701112,2011-01-11,2011,Tuesday
-0.0014103867414747562,0.0014671112748181336,0.002147330475715581,0.0013961077931967658,0.007616941849733827,0.14968027970221431,0.008232363408078758,0.0,0.010156022185370928,2011-01-12,2011,Wednesday
0.007876930843280672,0.011119700690889855,-0.0037495480822252736,-0.0002917434795177698,-0.003239700683111857,0.0017124242901689346,-0.008165144967427374,-0.027447877651981645,-0.020245457805925682,2011-01-13,2011,Thursday
0.017355711328590262,0.017132238910081865,0.011828564228275606,0.012145410377164989,-0.003707700233033129,0.00855081926686041,0.006585929999727069,-0.017925039590372838,-0.0002807077692839055,2011-01-14,2011,Friday
0.013245033112582849,-0.005193929619307647,-0.011690284941992313,0.024752546615537607,-0.0011116559229947809,-0.023314753581974212,0.002181109007265203,-0.004272297936307123,0.001265802134525762,2011-01-18,2011,Tuesday
-0.022901946423100505,0.007090322324742715,-0.014516483768242106,-0.012319659462972643,-0.000701568386490492,-0.027343704596945906,-0.003264494522109862,-0.0627922987805779,-0.029350237088401454,2011-01-19,2011,Wednesday
-0.02627501053854253,0.0055287796657532695,0.005456654214528456,-0.007882889298915785,-0.0055318928862997385,0.0008923006669225853,-0.004366687289765525,-0.058676642941388746,0.022714634670952805,2011-01-20,2011,Thursday
-0.02495046092513753,0.001185174524791499,0.07107927405468972,-0.023836507838274845,0.009311659680058648,-0.009362253292953038,0.0065788073527213164,0.018567637160444184,-0.007639450796243841,2011-01-21,2011,Friday
-0.003212778267879801,0.011249812795212755,0.015197647453737861,-0.0012258409295687889,-0.004027974447232352,0.11296088385326142,0.0049018327821137575,0.0629342000428097,0.02337848724282443,2011-01-24,2011,Monday
-0.0008481419339210206,0.0018009807712742187,-0.002993729625962449,0.014449804346583717,-0.0005327624420862209,-0.030731938664807612,0.0010841011777347198,0.007757924088131141,-0.002925108677059529,2011-01-25,2011,Tuesday
-0.007413724857566861,0.003079386397857986,-0.003003465422184437,-0.00550074820404467,-0.003416414447064864,0.023779914576963712,-0.005955566764818787,0.002836461877340879,-0.008102609110056447,2011-01-26,2011,Wednesday
0.051656317930741436,0.0017548570832788268,0.01807262034437529,0.00047042367944105656,-0.0011791893940104048,-0.002852351855326618,0.00653610182451958,0.006868478122891375,-0.005634406270428438,2011-01-27,2011,Thursday
-0.07216044437035884,0.0009468862051460469,-0.003944925896979701,-0.025616537022641106,0.00878741166183139,-0.029015348604196634,-0.017857319174714337,-0.03651643972767182,-0.016146775014372117,2011-01-28,2011,Friday
-0.008764731548542182,-0.010953162266290839,-0.0029705443259049336,-0.0010482739954906783,-0.009603730813870448,0.006733800775705179,0.00385702104877117,0.003748463585715456,0.00561435953408429,2011-01-31,2011,Monday
0.014560229331566754,0.010395098955229054,0.03277090905551705,0.01778935485852262,-0.0002314219091861247,0.022993760584848255,0.05488477911636336,-0.007884060336704302,0.01216949967955383,2011-02-01,2011,Tuesday
0.008250548760289966,0.008463832043246855,-0.0043268221693502085,0.0015710824081633934,-0.00827343556740634,0.0453614447270152,-0.003154955533527848,0.0012546890047229198,0.01965975729154623,2011-02-02,2011,Wednesday
0.0010372643567742035,-0.0008705001139088786,0.0019314574376183558,-0.0030228634313798075,0.0012531775864843553,-0.01876439048967582,0.011076125616506172,-0.012949221472192907,-0.0063803610063518645,2011-02-03,2011,Thursday
0.012779927371204591,-0.013992331130355029,-0.009156685640414053,0.0013603149634959788,0.001926611087446073,0.022709025302170227,0.006781558033314816,-0.007194027386309587,0.017729954354775757,2011-02-04,2011,Friday
0.0028419960148742263,-0.003638172736252221,0.015077330231066721,0.005417573496882433,0.006981012665915998,-0.04168286380045427,-0.013471848292126998,-0.016624055443599906,0.014128452303781902,2011-02-07,2011,Monday
0.03757864988946502,0.0012504930841761297,0.01964592697390599,0.006657996037441327,0.0008392148274896094,-0.02967477505137872,0.0063027278627934,0.061551988698525184,0.008657632767819168,2011-02-08,2011,Tuesday
